tt0088763,Back to the Future,1985,Adventure,8.5,Robert Zemeckis
tt0076759,Star Wars: Episode IV - A New Hope,1977,Action,8.6,George Lucas
tt0091059,Flight of the Navigator,1986,Adventure,6.9,Randal Kleiser
tt0158983,South Park: Bigger Longer & Uncut,1999,Animation,7.7,Trey Parker
tt0796366,Star Trek,2009,Action,7.9,J.J. Abrams
tt0083944,First Blood,1982,Action,7.7,Ted Kotcheff
tt9362722,Spider-Man: Across the Spider-Verse,2023,Animation,8.6,Joaquim Dos Santos
tt5311514,Your Name.,2016,Animation,8.4,Makoto Shinkai
tt2911666,John Wick,2014,Action,7.4,Chad Stahelski
tt0104952,My Cousin Vinny,1992,Comedy,7.6,Jonathan Lynn
tt6710474,Everything Everywhere All at Once,2022,Action,7.8,Daniel Kwan
tt1959563,The Hitman's Bodyguard,2017,Action,6.9,Patrick Hughes
tt0088930,Clue,1985,Comedy,7.2,Jonathan Lynn
